Name,birthyear,gender,ambiguous_name,painter,sculptor,photographer,illustrator
Diane Arbus,1923,f,False,False,False,True,False
Etel Adnan,1925,f,False,True,False,False,False
Alice Baber,1928,f,False,True,False,False,False
Jo Baer,1929,f,False,True,False,False,False
Irina Baldina,1922,f,False,True,False,False,False
Zlata Bizova,1927,f,False,True,False,False,False
Nell Blaine,1922,f,False,True,False,False,False
Fanny Brennan,1921,f,False,True,False,False,False
Esther Bubley,1921,f,False,False,False,True,False
Marie Cosindas,1925,f,False,False,False,True,False
Jay DeFeo,1929,f,False,True,False,False,False
Lois Dodd,1927,f,False,True,False,False,False
Rosalyn Drexler,1926,f,False,True,False,False,False
Monir Shahroudy Farmanfarmaian,1924,f,False,False,True,False,False
Lilly Fenichel,1927,f,False,True,False,False,False
Jackie Ferrara,1929,f,False,False,True,False,False
Mary Fitzpayne,1928,f,False,True,False,False,False
Victorine Foot,1920,f,False,True,False,False,False
Helen Frankenthaler,1928,f,False,True,False,False,False
Jane Freilicher,1924,f,False,True,False,False,False
Sonia Gechtoff,1926,f,False,True,False,False,False
Mokarrameh Ghanbari,1928,f,False,True,False,False,False
Françoise Gilot,1921,f,False,True,False,False,False
Elaine Hamilton-O'Neal,1920,f,False,True,False,False,False
Grace Hartigan,1922,f,False,True,False,False,False
Martha Holmes,1923,f,False,False,False,True,False
Mansooreh Hosseini,1926,f,False,True,False,False,False
Lila Katzen,1925,f,False,False,True,False,False
Maya Kopitseva,1924,f,False,True,False,False,False
Tatiana Kopnina,1921,f,False,True,False,False,False
Elena Kostenko,1926,f,False,True,False,False,False
Marina Kozlovskaya,1925,f,False,True,False,False,False
Yayoi Kusama,1929,f,False,False,True,False,False
Valeria Larina,1926,f,False,True,False,False,False
Joan Mitchell,1925,f,False,True,False,False,False
Inge Morath,1923,f,False,False,False,True,False
Margaret Olley,1923,f,False,True,False,False,False
Mimi Parent,1924,f,False,True,False,False,False
Pat Passlof,1928,f,False,True,False,False,False
Galina Rumiantseva,1927,f,False,True,False,False,False
Kapitolina Rumiantseva,1925,f,False,True,False,False,False
Behjat Sadr,1924,f,False,True,False,False,False
Honoré Desmond Sharrer,1920,f,False,True,False,False,False
Sarai Sherman,1922,f,False,True,True,False,False
Galina Smirnova,1929,f,False,True,False,False,False
Nancy Spero,1926,f,False,True,False,False,False
Hannah Tompkins,1920,f,False,True,False,False,False
Anne Truitt,1921,f,False,False,True,False,False
Nina Veselova,1922,f,False,True,False,False,False
Jane Wilson,1924,f,False,True,False,False,False
Leona Wood,1921,f,False,True,False,False,False
Sandra Blow,1925,f,False,True,False,False,False
Druie Bowett,1924,f,False,True,False,False,False
Cynthia Kenny,1929,f,False,True,False,False,False
Doretta Frenna Smith,1924,f,False,True,False,False,False
Magdalena Abakanowicz,1930,f,False,False,True,False,False
Alice Adams,1930,f,False,False,True,False,False
Emma Andijewska,1931,f,False,True,False,False,False
Gayleen Aiken,1934,f,False,True,False,False,False
Helene Aylon,1931,f,False,False,True,False,False
Hilla Becher,1934,f,False,False,False,True,False
Lee Bontecou,1931,f,False,False,True,False,False
Pauline Boty,1938,f,False,True,False,False,False
Joan Brown,1938,f,False,True,False,False,False
P. Buckley Moss,1933,f,False,True,False,False,False
Chryssa,1933,f,False,False,True,False,False
Iran Darroudi,1936,f,False,True,False,False,False
Irina Dobrekova,1931,f,False,True,False,False,False
Martha Edelheit,1931,f,False,True,False,False,False
Marisol Escobar,1930,f,False,False,True,False,False
Janet Fish,1938,f,False,True,False,False,False
Audrey Flack,1931,f,False,True,True,False,False
Elisabeth Frink,1930,f,False,False,True,False,False
Irina Getmanskaya,1939,f,False,True,False,False,False
Tatiana Gorb,1935,f,False,True,False,False,False
Shirley Gorelick,1936,f,False,True,False,False,False
Elena Gorokhova,1933,f,False,True,False,False,False
Nancy Graves,1939,f,False,True,True,False,False
Eva Hesse,1936,f,False,False,True,False,False
Nancy Holt,1938,f,False,False,True,False,False
Sara Leighton,1937,f,False,True,False,False,False
Lee Lozano,1930,f,False,True,False,False,False
Totte Mannes,1933,f,False,True,False,False,False
Emily Mason,1932,f,False,True,False,False,False
Leyly Matine-Daftary,1937,f,False,True,False,False,False
Valentina Monakhova,1932,f,False,True,False,False,False
Ree Morton,1933,f,False,True,False,False,False
Vera Nazina,1931,f,False,True,False,False,False
Carol Heifetz Neiman,1937,f,False,True,False,False,False
Nancy Petyarre,1934,f,False,True,False,False,False
Deborah Remington,1930,f,False,True,False,False,False
Bridget Riley,1931,f,False,True,False,False,False
Faith Ringgold,1930,f,False,True,False,False,False
Dorothea Rockburne,1932,f,False,True,False,False,False
Joan Semmel,1932,f,False,True,False,False,False
Pat Steir,1938,f,False,True,False,False,False
Marjorie Strider,1931,f,False,False,True,False,False
Michelle Stuart,1933,f,False,True,True,True,False
Gillian Ayres,1930,f,False,True,False,False,False
Pacita Abad,1946,f,False,True,False,False,False
"Gretchen Albrecht,",1943,f,False,True,False,False,False
Heather Angel,1941,f,False,False,False,True,False
Alice Aycock,1946,f,False,False,True,False,False
Tina Barney,1945,f,False,False,False,True,False
Anne Bascove,1946,f,False,True,False,False,False
Lynda Benglis,1941,f,False,False,True,False,False
Judith Bernstein,1942,f,False,True,False,False,False
Vivienne Binns,1940,f,False,True,False,False,False
Melinda Bordelon,1949,f,False,True,False,False,True
Squeak Carnwath,1947,f,False,True,False,False,False
Shelagh Cluett,1947,f,False,False,True,False,False
Susan Crile,1942,f,False,True,False,False,False
Lynn Davis,1944,f,False,False,False,True,False
Orshi Drozdik,1946,f,False,False,True,True,False
Bracha Ettinger,1948,f,False,True,False,True,False
Carole Feuerman,1945,f,False,False,True,False,False
Jan Groover,1943,f,False,False,False,True,False
Maggi Hambling,1945,f,False,True,True,False,False
Helen Hardin,1943,f,False,True,False,False,False
Margaret Harrison,1940,f,False,True,False,False,False
Masumi Hayashi,1945,f,False,False,False,True,False
Rebecca Horn,1944,f,False,False,True,False,False
Miyako Ishiuchi,1947,f,False,False,False,True,False
Gayane Khachaturian,1942,f,False,True,False,False,False
Annie Leibovitz,1949,f,False,False,False,True,False
"Pat Lipsky,",1940,f,False,True,False,False,False
"Hung Liu,",1948,f,False,True,False,False,False
Markéta Luskačová,1944,f,False,False,False,True,False
Mary Ellen Mark,1940,f,False,False,False,True,False
Linda McCartney,1942,f,False,False,False,True,False
Susan Meiselas,1948,f,False,False,False,True,False
Ana Mendieta,1948,f,False,False,True,False,False
Sheila Mullen,1942,f,False,True,False,False,False
Glòria Muñoz,1949,f,False,True,False,False,False
Elizabeth Murray,1940,f,False,True,False,False,False
Avis Newman,1946,f,False,True,True,False,False
Gladys Nilsson,1940,f,False,True,False,False,False
Guity Novin,1944,f,False,True,False,False,False
Gloria Petyarre,1945,f,False,True,False,False,False
Sylvia Plachy,1943,f,False,False,False,True,False
Susan Mohl Powers,1944,f,False,True,True,False,False
Suellen Rocca,1943,f,False,True,False,False,False
Barbara Rosenthal,1948,f,False,False,False,True,False
Martha Rosler,1943,f,False,False,False,True,False
Barbara Rossi,1940,f,False,True,False,False,False
Ursula von Rydingsvard,1942,f,False,False,True,False,False
Barbara Schwartz,1949,f,False,True,True,False,False
Sandy Skoglund,1946,f,False,False,False,True,False
Hollis Sigler,1948,f,False,True,False,False,False
Joan Snyder,1940,f,False,True,False,False,False
Vicki Stone,1949,f,False,True,False,False,False
Altoon Sultan,1948,f,False,True,False,False,False
Carol Sutton,1945,f,False,True,False,False,False
Joyce Tenneson,1945,f,False,False,False,True,False
Mym Tuma,1940,f,False,True,False,False,False
Lauretta Vinciarelli,1943,f,False,True,False,False,False
Hannah Wilke,1940,f,False,False,True,True,False
Val Wilmer,1941,f,False,False,False,True,False
Jackie Winsor,1941,f,False,False,True,False,False
Eija-Liisa Ahtila,1959,f,False,False,False,True,False
Davida Allen,1951,f,False,True,False,False,False
Cecilia Alvarez,1950,f,False,True,False,False,False
Anne Appleby,1954,f,False,True,False,False,False
Lynda Barry,1956,f,False,False,False,False,True
Chila Kumari Burman,1957,f,False,True,False,False,False
Sophie Calle,1953,f,False,False,False,True,False
Louisa Chase,1951,f,False,True,False,False,False
Chinwe Chukwuogo-Roy,1952,f,False,True,False,False,False
Sokari Douglas Camp,1958,f,False,False,True,False,False
Joanne Gair,1958,f,False,True,False,False,False
Anne Geddes,1956,f,False,False,False,True,False
Nan Goldin,1953,f,False,False,False,True,False
Akiko Hatsu,1959,f,False,False,False,False,True
Roni Horn,1955,f,False,False,False,True,False
Leiko Ikemura,1951,f,False,True,True,False,False
Claudette Johnson,1959,f,False,True,False,False,False
Marita Liulia,1957,f,False,False,False,True,False
Sally Mann,1951,f,False,False,False,True,False
Michiko Matsumoto,1950,f,False,False,False,True,False
Shirin Neshat,1957,f,False,False,False,True,False
Deborah Niland,1950,f,False,True,False,False,True
Kilmeny Niland,1950,f,False,True,False,False,True
Cady Noland,1956,f,False,False,True,False,False
Cornelia Parker,1956,f,False,False,True,False,False
Ingrid Pollard,1953,f,False,False,False,True,False
Shani Rhys James,1953,f,False,True,False,False,False
Jenny Scobel,1955,f,False,True,False,False,False
Cindy Sherman,1954,f,False,False,False,True,False
Li Shuang,1957,f,False,True,False,False,False
Jiang Shuo,1958,f,False,False,True,False,False
Kiki Smith,1954,f,False,False,True,False,False
Renee Stout,1958,f,False,False,False,True,False
Rumiko Takahashi,1957,f,False,False,False,False,True
Zoja Trofimiuk,1952,f,False,False,True,False,False
Alison Turnbull,1956,f,False,True,True,False,False
Carrie Mae Weems,1953,f,False,False,False,True,False
Emmi Whitehorse,1957,f,False,True,False,False,False
Francesca Woodman,1958,f,False,False,False,True,False
Zhang Xin,1953,f,False,True,False,False,False
Jessica Abel,1969,f,False,False,False,False,True
Margarete Bagshaw,1964,f,False,True,False,False,False
Cecily Brown,1969,f,False,True,False,False,False
Carolyn Cole,1961,f,False,False,False,True,False
Inka Essenhigh,1969,f,False,True,False,False,False
Abigail Fallis,1968,f,False,False,True,False,False
Anna Fox,1961,f,False,False,False,True,False
Ellen Gallagher,1965,f,False,True,False,False,False
Brita Granström,1969,f,False,True,False,False,True
Maya Hayuk,1969,f,False,True,False,False,False
Chantal Joffe,1969,f,False,True,False,False,False
Lori Kay,1962,f,False,False,True,False,False
Toba Khedoori,1964,f,False,False,True,False,False
Rachel Khedoori,1964,f,False,False,True,False,False
Lorena Kloosterboer,1962,f,False,True,True,False,False
Zoe Leonard,1961,f,False,False,False,True,False
Catherine Opie,1961,f,False,False,False,True,False
Olivia Peguero,1962,f,False,True,True,False,False
Lique Schoot,1969,f,False,True,False,True,False
Lorna Simpson,1960,f,False,False,False,True,False
Jonny Star,1964,f,False,False,True,False,False
Roxanne Swentzell,1962,f,False,False,True,False,False
Jill Thompson,1966,f,False,False,False,False,True
Verónica Ruiz de Velasco,1968,f,False,True,False,False,False
Kara Walker,1969,f,False,True,False,False,False
Rachel Whiteread,1963,f,False,False,True,False,False
Melanie Yazzie,1966,f,False,True,True,False,False
Hiromix,1976,f,False,False,False,True,False
Rachel Kneebone,1973,f,False,False,True,False,False
Julie Mehretu,1970,f,False,True,False,False,False
Jenny Saville,1970,f,False,True,False,False,False
Lynette Yiadom-Boakye,1977,f,False,True,False,False,False
